SKU,Name,Collection,Category,Gender,Color,Url
8621210200,,GIRLS          ,Outerwear,GIRLS          ,Black,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/862121-4.JPG
8660740200,,GIRLS          ,Outerwear,GIRLS          ,Black,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/8660740200-4.JPG
8717479400,,N.B BOYS       ,Tops,N.B BOYS       ,Off White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/8717479400-1.JPG
8717485200,,N.B GIRLS      ,Tops,N.B GIRLS      ,Red,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/8717485200-1.JPG
8717497300,,N.B BOYS       ,Tops,N.B BOYS       ,Mustard,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/8717497300-2.JPG
8717503800,,N.B GIRLS      ,Tops,N.B GIRLS      ,Pastel Pink,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/8717503800-2.JPG
8717520900,,N.B BOYS       ,Tops,N.B BOYS       ,Royal Blue,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/8717520200-1.JPG
8717540200,,N.B BOYS       ,Tops,N.B BOYS       ,Black,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/8717540200-1.JPG
8886903800,,N.B GIRLS      ,One-piece,N.B GIRLS      ,Pastel Pink,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/8886903800-1.JPG
8886902599,,N.B GIRLS      ,One-piece,N.B GIRLS      ,Light Fuchsia,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/8886902599-3.JPG
8886900500,,N.B GIRLS      ,One-piece,N.B GIRLS      ,Grey Melange,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/8886900500-1.JPG
8886910100,,N.B GIRLS      ,One-piece,N.B GIRLS      ,White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/8886910100-1.JPG
8886950100,,N.B BOYS       ,One-piece,N.B BOYS       ,White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/8886950100-1.JPG
8886958200,,N.B BOYS       ,One-piece,N.B BOYS       ,Mid Grey,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/8886958200-1.JPG
